app_id,bottom_year,top_year,vehicles_id
10074150,1996,1996,1
10101861,1998,2022,2
10101861,1996,2019,3
10101861,1998,2021,4
10101861,1998,2020,5
10101874,1975,2021,6
10101874,1965,2022,7
10107865,1998,2004,8
10107874,1996,2021,9
10107874,1998,2023,8
10116192,2001,2001,10
10116192,1986,2020,11
10116192,1995,2020,12
10116201,2001,2001,12
10127821,2000,2022,13
10138863,1998,2009,14
10138865,2002,2016,15
10164312,1992,2021,16
10164312,1997,2021,8
10164320,1991,2007,8
10164321,1997,2021,16
10164321,1991,2020,8
10164335,1991,2020,17
10164355,1997,2014,18
10164355,1998,1999,19
10164355,1994,2000,20
10164373,1998,2020,9
10164411,1997,2021,8
10164419,1997,2013,21
10164419,2003,2018,22
10164422,1979,2022,21
10164422,1966,2021,22
10164494,2000,2006,23
10164494,2000,2008,24
10164500,1990,1999,25
10164500,1991,1999,26
10164500,1982,1999,27
10165485,1998,2021,10
10165485,1997,2020,28
10165486,2001,2021,29
10165486,1999,2022,30
10165548,1981,2021,31
10165548,1979,2023,32
10165548,1997,2023,33
10165553,1997,2022,31
10165553,1987,2022,32
10165566,1991,2016,30
10165578,1997,2009,10
10165578,1997,2003,28
10165578,2000,2006,28
10165582,1996,2003,34
10165582,1997,2019,28
10168230,2008,2021,35
10244681,1999,2002,36
10244697,1999,2003,36
10244702,1999,2002,36
10245028,1998,2003,36
10245032,1998,2002,37
10250071,1994,1998,38
10250118,1994,1999,38
10250152,1998,2002,39
10250163,1996,2002,39
10267039,2007,2016,40
10267068,2003,2019,41
10267068,2004,2015,42
10267068,2002,2014,43
10267068,2003,2016,44
10267071,2005,2017,45
10267071,2006,2015,46
10267071,2005,2015,42
10267071,2006,2015,43
10267071,2005,2013,44
10272243,1999,2023,47
10272243,1989,2022,48
10272255,1990,1995,49
10272258,1967,2023,50
10272263,1994,2006,51
10272263,1992,2006,52
10272272,1994,2005,49
10272272,1992,2005,53
10272278,1990,2017,54
10272280,1990,2001,50
10272280,1999,2001,55
10272280,1995,2001,56
10272287,1987,2020,50
10272287,1963,2020,56
10272292,1981,2011,49
10272292,1995,2011,53
10274073,2002,2019,50
10281370,2002,2019,57
10281370,2008,2021,58
10281370,2008,2021,59
10281375,2000,2020,60
10281375,2006,2020,61
10281503,2006,2023,62
10296650,2007,2013,63
10296650,2009,2015,35
10296650,2012,2014,64
10296672,1998,2004,65
10296672,1997,2004,66
10296672,2001,2016,67
10296687,1995,2008,21
10296687,1994,2018,68
10296695,2002,2018,69
10296695,2006,2015,6
10296695,2005,2010,70
10296712,1971,2012,71
10296712,1995,2013,47
10296712,2004,2019,72
10298029,1995,2013,69
10298029,1969,2011,6
10298830,2001,2006,73
10298830,2001,2007,35
10298830,2002,2006,74
10298863,1991,2021,75
10298865,2001,2005,76
10298865,2001,2005,77
10298893,1988,2017,78
10298893,1988,2020,79
10298893,2001,2019,80
10298895,1967,2021,80
10299803,1997,2020,81
10299803,1999,2020,82
10302003,1992,2019,83
10302003,1994,2021,84
10302003,1994,2021,85
10302097,1999,2019,10
10302097,1993,2021,34
10302099,2001,2011,34
10302099,2000,2013,86
10302124,2001,2017,87
10302124,2002,2010,88
10302124,2002,2017,89
10303139,1991,2003,34
10303139,1991,1997,90
10303139,1990,2002,91
10303139,1977,2000,82
10303139,1978,2000,92
10303141,1990,2020,34
10303141,1986,2019,82
10303178,1965,2020,93
10303768,2002,2019,94
10303772,2002,2019,95
10307664,2003,2007,97
10307664,2001,2007,98
10307664,2003,2007,99
10307664,2003,2007,100
10307664,2001,2006,101
10307664,2001,2006,102
10307666,2002,2004,99
10307668,2001,2004,103
10307670,2000,2004,104
10307798,2003,2010,97
10307799,2001,2007,98
10307816,2005,2008,105
10307829,1998,2004,103
10307847,1996,2000,98
10307858,1996,2001,106
10307860,1994,1997,107
10307861,1996,2000,108
10307867,1998,2002,109
10307873,1999,2004,110
10307887,2003,2006,46
10307896,1996,2000,111
10307898,1998,2002,103
10307919,2001,2007,112
10307947,1997,2000,98
10307964,2005,2009,75
10308665,1998,2002,100
10308679,1998,2007,113
10308685,1998,2000,114
10308685,1998,2001,115
10308685,1998,2001,109
10308685,1998,2000,116
10308685,1998,2000,117
10308688,1995,1998,118
10308700,2000,2004,109
10308700,2000,2004,113
10308700,2000,2004,119
