app_id,vehicles_id,fits
12195377,423,0
11792913,6,1
12472063,171,0
11614285,1077,1
12247438,978,0
11867203,894,0
12528210,1183,0
11691272,278,1
12169096,948,0
12115797,360,0
11732626,965,1
12522676,490,0
12274574,1516,0
11671454,196,1
12517148,714,0
11860524,47,1
10849157,255,1
11309924,335,1
12457066,498,0
11823023,197,1
12564241,790,0
11679777,978,0
11096422,366,0
12044844,151,0
11780634,973,1
12380720,303,0
11562177,1007,1
12540460,1210,0
11836767,1550,0
12563636,307,1
12233418,521,0
11169325,764,1
11564070,34,1
12381779,1144,0
11841577,1009,0
11697522,62,1
11698550,214,1
11846015,47,1
12524575,762,0
11625400,207,1
11880589,1232,0
12283928,983,1
10794215,446,0
10989116,347,1
11683880,871,1
12237660,880,0
12518901,352,0
12141735,1611,0
12270427,982,0
11628488,324,1
10977858,235,1
12433199,514,0
11370495,813,1
12542793,591,0
11612072,587,1
12249102,1397,0
12428020,908,0
11309946,112,1
11866054,1135,1
11489188,176,1
11179567,1197,0
12557669,843,0
11371007,289,1
11701336,42,1
11845555,47,1
12457989,1199,0
11835289,533,1
11628347,383,1
11023043,399,1
12477143,1157,0
12482170,1008,0
12442986,34,0
11883077,30,1
12563408,206,1
11622249,675,0
11604085,357,1
12286869,163,1
11841991,47,1
12563628,603,1
11474278,731,0
12558182,600,0
12009832,142,0
11739426,166,1
12563640,1609,1
11825296,611,1
11609877,24,1
12544423,46,0
11844452,206,1
12563639,602,1
12563120,357,1
11841916,847,1
11670060,836,0
12440869,1589,0
12400438,1415,0
11747582,889,1
11763862,146,1
12564492,1340,0
12285007,383,1
11896342,590,0
11841156,1049,1
10318994,145,1
12499665,435,0
11596570,401,1
12431865,1548,0
11774721,32,1
11817987,7,1
11096348,56,1
11824299,1324,0
12465616,1332,0
12562760,357,1
12541855,1364,0
12564987,1236,0
12283915,664,1
12562990,50,1
12278908,1013,0
12510812,604,0
12323627,290,0
11780634,616,1
11455757,1,1
11680140,206,1
10307668,746,0
12524355,610,0
12380582,1510,0
11827399,750,1
12541733,633,0
10920530,285,1
12405985,164,0
11865812,913,1
11727913,583,1
11854939,873,1
11781261,1,1
11151198,280,1
11657336,61,1
11599383,225,1
11774264,50,1
12366331,1602,0
10483393,81,1
11877952,50,1
12545179,1133,0
12337924,805,0
12297518,667,0
12553326,5,0
11774740,761,1
12456912,190,0
11868850,536,1
12563640,904,1
12372597,881,0
11859828,48,1
11682554,162,1
12563633,1609,1
11714045,1333,0
11625956,391,1
11511873,318,1
11293059,539,1
11887622,1422,1
11685452,7,1
12441458,1150,0
11882895,208,1
12451418,803,0
11071837,499,1
12549440,386,0
12434654,338,0
12325279,359,0
12196698,359,0
12487367,461,0
11678970,224,1
12563098,139,0
12263428,457,0
11785891,151,1
12481810,48,0
12199698,403,1
12465252,820,0
12337571,567,0
12549263,171,0
11823023,543,1
12309691,288,0
11612314,47,1
12527345,755,0
11604012,540,1
12534609,836,0
12469485,614,0
11448127,340,0
11780634,850,1
11785224,9,1
12550394,118,0
11859924,1304,0
11140831,18,1
11502399,1344,0
12514546,624,0
11682689,467,1
12564863,986,0
12247126,776,0
11725052,54,1
11473428,706,1
11882407,1431,0
11856832,884,1
12439774,560,0
11612373,51,1
11679192,54,1
12562274,50,1
11687694,1078,0
11774721,817,1
12536818,147,0
12119829,1330,0
12498018,474,0
11781013,885,1
11905503,402,0
12176257,1462,0
11398205,1420,0
12495156,597,0
12266609,956,0
12533329,820,0
12464988,1094,0
11788645,453,1
12427439,1326,0
12476298,683,0
11775835,272,1
12433869,598,0
12392420,103,0
12135099,349,0
11654291,539,1
11624932,1397,0
11785891,196,1
11980251,729,0
11812174,719,1
11777134,155,1
10975590,745,0
12478747,742,0
11650762,277,1
12474963,218,0
11660524,876,0
11625872,460,1
12370167,1271,0
12286255,1012,1
11823023,338,1
11441407,363,1
12106891,178,0
12501758,1044,0
10827802,251,1
11762786,1049,1
11671471,321,1
12434580,128,0
12549365,579,0
10808224,533,0
11842766,535,1
11856422,611,1
11356384,264,1
12403679,493,0
11858910,1504,0
11613711,9,1
11811228,48,1
12278319,730,0
12534147,443,0
11266181,799,0
11612340,88,1
12502823,494,0
12264349,1011,0
11370506,814,1
12562741,357,1
12252481,142,0
12057279,109,0
12198375,506,0
12472331,1115,0
11680227,50,1
12303779,688,0
12392872,979,0
11802480,1065,1
12398220,269,0
11785891,78,1
11465110,717,1
10496983,787,0
11730865,846,1
12563249,208,1
11815471,47,1
11445421,175,1
12454079,393,0
11581070,9,0
12499886,1091,0
11817765,59,1
11725019,1056,0
11038268,143,1
11774976,375,1
11378628,449,0
11599392,1061,1
11456221,356,1
11675546,42,1
12563651,1599,1
11772795,533,1
11843420,260,1
11735299,1385,0
11492283,59,1
11826379,873,1
12538042,1454,0
11157298,641,1
11764299,598,1
11683829,585,1
11585935,130,1
11445427,391,1
10307964,75,1
12535539,312,0
12468210,500,0
12283915,845,1
12298235,375,0
11800442,183,1
11499173,1104,1
11688193,41,1
11460985,143,1
12396799,717,0
11621090,54,1
11732838,497,1
10974505,287,1
12529321,1028,0
12285356,58,1
12422129,82,0
12456296,788,0
12502148,11,0
12375455,339,0
11938125,920,0
11820842,352,1
12284033,12,1
11612379,889,1
12390413,1100,0
12472176,322,0
12040949,520,0
12563043,591,1
11931459,652,0
11538651,114,1
12455430,927,0
12468647,1136,0
11946330,723,0
12193231,328,0
10808854,247,1
11729353,299,1
12396273,941,0
10902228,468,0
11697484,593,1
11538539,81,0
11682493,1280,0
11407199,523,1
12189601,321,0
11766767,568,1
12525716,1079,0
12422838,1254,0
11812700,70,1
11485512,14,1
11773539,369,1
12072524,836,0
11777106,54,1
11520815,1182,0
11811434,467,1
12533308,252,0
11881275,54,1
12501672,681,0
12324499,1257,0
12246467,1561,0
12517616,1386,0
12397541,840,0
12556588,521,0
10709539,119,1
11738623,224,1
11961726,801,0
12306104,1452,0
12464555,327,0
12404819,1059,0
12248012,1395,0
12563170,90,1
11763862,360,1
11422080,143,1
11779787,723,1
11580794,69,1
11428932,412,1
11328940,62,1
11487263,84,1
11683969,50,1
12263362,1255,0
12469351,1111,0
11658158,490,1
12207988,498,0
11683880,514,1
11489464,21,1
12553773,147,0
11730888,593,1
11860080,69,1
12494030,892,0
11538150,244,1
12543194,1572,0
10808858,247,1
11747582,411,1
11856422,942,1
11926916,620,0
11401710,113,1
12563938,57,0
11896032,701,0
11567080,35,1
12383880,929,0
11441488,889,1
11534379,852,1
12537859,384,0
12451626,1483,0
12543355,786,0
11731774,368,1
10902173,1550,0
11856965,517,1
12562992,571,1
12054994,104,0
12188945,382,0
10961805,87,1
11992141,557,0
12563622,1012,1
12218314,1152,0
11495799,1495,0
11807495,604,1
12562574,1036,1
12465594,1567,0
12071491,1409,0
12083314,308,0
11820515,357,1
12557680,283,0
12511574,1418,0
11825296,16,1
12465962,423,0
12331205,842,0
12462621,1164,0
12285547,889,1
12276589,293,0
11599324,808,1
12506059,50,0
12467066,1246,0
12555762,588,0
11659050,271,0
12134293,1437,0
11433221,224,1
11612275,398,1
12007975,1440,0
11077718,1340,0
12523749,1383,0
11527884,1560,0
11318641,264,1
12283991,106,1
12534603,1411,0
12541839,507,0
12451581,403,0
12463854,981,0
11944452,141,0
11598768,47,1
12520184,354,0
12103271,1499,0
12523689,842,0
12562997,90,1
11160560,91,0
12191193,1355,0
11329048,50,1
11982725,756,0
11845591,1156,1
12430461,965,0
11952878,966,0
11813279,867,1
