manufacturer_name,part_count
OLDSMOBILE,1
ARCFOX,1
GREATWALL,1
FISKER,1
MOSKVICH,1
CHERY,1
JCB,1
DACIA,1
KAMAZ,2
LAMBORGHINI,2
YAMAHA,2
POLARIS,2
GAZ,3
HARLEY-DAVIDSON,3
IVECO,4
SATURN,8
GMC,10
VAZ,10
SMART,11
BUICK,12
SAAB,13
MASERATI,13
MERCURY,14
SSANGYONG,17
TESLA,21
LANCIA,23
JAGUAR,28
SCION,28
PONTIAC,29
SEAT,30
ROVER,32
ISUZU,38
LINCOLN,38
ACURA,38
CADILLAC,41
HUMMER,43
ALFA ROMEO,55
DAEWOO,57
VOLVO,75
MINI,77
LAND ROVER,79
PORSCHE,86
DAIHATSU,91
SKODA,148
INFINITI,152
CITROEN,153
CHRYSLER,159
FIAT,213
PEUGEOT,218
DODGE,241
SUZUKI,264
AUDI,264
RENAULT,314
KIA,363
OPEL,412
JEEP,433
SUBARU,450
MAZDA,525
MITSUBISHI,565
CHEVROLET,567
HONDA,578
VOLKSWAGEN,602
BMW,662
LEXUS,862
HYUNDAI,876
MERCEDES-BENZ,970
NISSAN,1128
FORD,1308
TOYOTA,3443
