id,model_name,manufacturer_name,vehicle_type_id
1,Grand Vitara,SUZUKI,1
2,Expedition,FORD,1
3,F150,FORD,1
4,Mountaineer,MERCURY,1
5,Navigator,LINCOLN,1
6,Mazda 3,MAZDA,1
7,CX-5,MAZDA,1
8,Protege,MAZDA,1
9,MPV,MAZDA,1
10,Santa FE,HYUNDAI,1
11,Sedona,KIA,1
12,Sorento,KIA,1
13,MX-5,MAZDA,1
14,Altima,NISSAN,1
15,Q45,INFINITI,1
16,Premacy,MAZDA,1
17,626,MAZDA,1
18,Escort,FORD,1
19,Cougar,MERCURY,1
20,Mystique,MERCURY,1
21,Ranger,FORD,1
22,B-serie,MAZDA,1
23,Sable,MERCURY,1
24,Taurus,FORD,1
25,Passport,HONDA,1
26,Trooper,ISUZU,1
27,Monterey,OPEL,1
28,Optima,KIA,1
29,Tucson,HYUNDAI,1
30,Sportage,KIA,1
31,Tracker,CHEVROLET,1
32,Vitara,SUZUKI,1
33,Esteem,SUZUKI,1
34,Sonata,HYUNDAI,1
35,Cr-v,HONDA,1
36,Cougar,FORD,1
37,Zafira,OPEL,1
38,106,PEUGEOT,1
39,Lanos,DAEWOO,1
40,C 300,MERCEDES-BENZ,1
41,325,BMW,1
42,328,BMW,1
43,330,BMW,1
44,335,BMW,1
45,318,BMW,1
46,320,BMW,1
47,Grand Cherokee,JEEP,1
48,Forester,SUBARU,1
49,4Runner,TOYOTA,1
50,Camry,TOYOTA,1
51,Land Cruiser,TOYOTA,1
52,LX 450,LEXUS,1
53,Tacoma,TOYOTA,1
54,Corolla,TOYOTA,1
55,Soarer,TOYOTA,1
56,ES 300,LEXUS,1
57,RX 330,LEXUS,1
58,RX 350,LEXUS,1
59,RX 450,LEXUS,1
60,X5,BMW,1
61,X6,BMW,1
62,RAV 4,TOYOTA,1
63,Accord,HONDA,1
64,ILX,ACURA,1
65,Leganza,DAEWOO,1
66,Rodeo,ISUZU,1
67,Forenza,SUZUKI,1
68,"E 2000,2200 Bus",MAZDA,1
69,Focus,FORD,1
70,Mariner,MERCURY,1
71,300,CHRYSLER,1
72,Charger,DODGE,1
73,Civic,HONDA,1
74,RSX,ACURA,1
75,S40,VOLVO,1
76,X-Terra,NISSAN,1
77,Frontier,NISSAN,1
78,Trailblazer,CHEVROLET,1
79,Envoy,GMC,1
80,H3,HUMMER,1
81,Airtrek,MITSUBISHI,1
82,Galant,MITSUBISHI,1
83,X-Trail,NISSAN,1
84,FX35,INFINITI,1
85,FX37,INFINITI,1
86,Magentis,KIA,1
87,Mazda 6,MAZDA,1
88,CX-7,MAZDA,1
89,Mazda 5,MAZDA,1
90,Elantra,HYUNDAI,1
91,Eclipse,MITSUBISHI,1
92,Mirage,MITSUBISHI,1
93,GS 400,LEXUS,1
94,Cayenne,PORSCHE,1
95,Q7,AUDI,1
96,Delica,MITSUBISHI,1
97,Espace,RENAULT,1
98,Laguna,RENAULT,1
99,Megane,RENAULT,1
100,Scenic,RENAULT,1
101,Trafic,RENAULT,1
102,Vivaro,OPEL,1
103,Clio,RENAULT,1
104,Kangoo,RENAULT,1
105,A 170,MERCEDES-BENZ,1
106,Primera,NISSAN,1
107,Twingo,RENAULT,1
108,Sharan,VOLKSWAGEN,1
109,Xsara,CITROEN,1
110,406,PEUGEOT,1
111,Voyager,CHRYSLER,1
112,Corsa,OPEL,1
113,206,PEUGEOT,1
114,Berlingo,CITROEN,1
